2019-05-23 09:49:19,卡内基·梅隆大学,"美国卡耐基梅隆大学（Carnegie Mellon University），简称CMU，坐落在美国宾夕法尼亚州的匹兹堡(Pittsburgh)，是一所拥有13,600名在校学生和1,423名教职及科研人员的世界著名学府。该校拥有享誉全球的计算机学院和戏剧学院，其艺术学院，商学院，工程院以及公共管理学院等也都在全美名列前茅。CMU由工业家兼慈善家安德鲁·卡耐基于1900年创建，当时名为卡内基技术学校，1912年改名为卡耐基梅隆大学，开始向以研究为主的美国重点大学转变。其在2016-17泰晤士高等教育全球大学排名中位列世界第23，包括工程与技术排名世界第15，商业与经济排名世界第16，计算机排名世界第6，全美大学排名第16。在2018年QS世界大学排名中，其计算机与信息系统学排名世界第3，统计与运筹排名第8，数学第16，电子工程排名第18。在2017年USNews美国大学排名中，卡耐基梅隆大学位列24名，包括最佳创新大学第6位，商科全美第6，工程院第8（本科）/ 5（研究生），计算机学院第1，统计学第9，离散及组合数学第11。其量化金融项目（MSCF）常年在全美名列前3。除此之外，卡耐基梅隆的戏剧学院也享有盛誉，在2016年被好莱坞记者报排在全美第3。截至2017年卡耐基梅隆大学共培养出了12个图灵奖，20个诺贝尔奖，9个奥斯卡，114个艾米奖，44个托尼奖。除了匹兹堡校区，卡耐基梅隆大学在美国硅谷以及卡塔尔设有分校，并且其在世界各地均设有合作研究机构，包括纽约，洛杉矶，华盛顿特区，中国，澳大利亚，葡萄牙，卢旺达等。"
2019-05-23 09:49:19,Y Combinator,Y Combinator成立于2005年，是美国著名创业孵化器，Y Combinator扶持初创企业并为其提供创业指南。截止2012年7月，共孵化380家创业公司，这些公司累计获得投资额超过10亿美元，估值已经100亿美元，其中云储存服务提供商Dropbox融资2.57亿美元，房屋短期租赁网站Airbnb融资1.2亿美元
2019-05-23 09:49:19,伊利诺伊大学厄巴纳-香槟分校,伊利诺伊大学厄巴纳-香槟分校（University of Illinois at Urbana-Champaign，缩写为UIUC），创建于1867年，位于伊利诺伊州幽静的双子城厄巴纳–香槟市，是一所享有世界声望的顶尖研究型大学。该校是美国“十大联盟（Big Ten）”创始成员，美国大学协会（AAU）成员，被誉为“公立常春藤”，与加州大学伯克利分校及密歇根大学安娜堡分校并称“美国公立大学三巨头”。该校一直致力于卓越的研究、教学和公众参与，取得了很多奖项荣誉。校友和教授中有30位获得诺贝尔奖，25位获得普利策奖，这在美国公立大学中仅次于加州大学伯克利分校。该校很多学科素负盛名，其工程学院在全美乃至世界堪称至尊级的地位，始终位于美国大学工程院排名前五，几乎所有工程专业均在全美排名前十，电气、土木、材料、农业、环境、机械等专业排名全美前五，计算机专业排名全美第二；传媒学院学术研究处于世界顶级，是传播学学科的产生地。商学院也具有极强的实力，其会计、金融等专业为全美一流水平，其中会计专业排名全美前二。该校计算机专业校友创建（或参与创建）了特斯拉、甲骨文（Oracle）、Youtube、Paypal、AMD、Yelp等世界知名的公司和IT产品，以及JavaScript、Swift等编程语言。该校拥有全美第二大大学图书馆，仅次于哈佛大学。在《泰晤士高等教育》2018年世界大学排名第37位；在2017年ARWU排名第37位；在2018年CWUR世界大学排名第32位。
2019-05-23 09:49:19,Airbnb,"Airbnb是AirBed and Breakfast (""Air-b-n-b"")的缩写，中文名：爱彼迎。爱彼迎是一家联系旅游人士和家有空房出租的房主的服务型网站，它可以为用户提供多样的住宿信息。2011年，Airbnb服务令人难以置信地增长了800%。Airbnb成立于2008年8月，总部设在美国加州旧金山市。Airbnb是一个旅行房屋租赁社区，用户可通过网络或手机应用程序发布、搜索度假房屋租赁信息并完成在线预定程序。据官网显示以及媒体报道，其社区平台在191个国家、65,000个城市为旅行者们提供数以百万计的独特入住选择，不管是公寓、别墅、城堡还是树屋。Airbnb被时代周刊称为“住房中的EBay”。2015年2月28日，美国短租网站Airbnb正在进行新一轮融资，而估值将达到200亿美元。2015年2月，根据消息人士的说法，Airbnb计划融资10亿美元，已完成了其中的一半，投资方包括富达、TPG、T. Rowe Price、Dragoneer、Founders Fund、红杉资本和俄罗斯DST。2016年11月01日，国外媒体报道美国短租服务公司Airbnb对中国用户表示，该公司将在本地存储他们的个人数据。2017年1月27日，总部位于旧金山的短期租赁网站Airbnb首次盈利，公司营业额增长超过80%。爱彼迎平台表示，严厉禁止“刷单”等滥用平台评价机制的行为，一旦发现有入驻平台的商家、房东存在违规，将会采取房源排名降低、罚款甚至永久下线、封停账号等措施。2018年12月，世界品牌实验室发布《2018世界品牌500强》榜单，爱彼迎排名第425。"
2019-05-23 09:49:19,沈祖海,沈祖海（Haigo T. H. Shen，1926年8月8日－2005年6月18日），上海市人，是森海国际工程顾问股份有限公司与沈祖海建筑联合事务所的创办人，曾在台湾的四十多年之间，以多项知名建筑，创下不少奇迹，并获得不少建筑相关荣誉，包含台北世界贸易中心、台北国际会议中心，都是出自于他的一手设计。
2019-05-23 09:49:20,华尔街日报,华尔街日报（The Wall Street Journal）创刊于1889年，以超过200万份的发行量成为美国付费发行量最大的财经报纸。这份在美国纽约出版的报纸，着重在财经新闻的报道，其内容足以影响每日的国际经济活动。《华尔街日报》的读者主要为政治、经济、教育和医学界的人士，金融大亨和经营管理人员以及股票市场的投资者，其中包括20万名的董事长、总经理。美国500家最大企业的经理人员绝大部分订阅此报。2007年6月，华尔街日报被新闻集团收购。2016年10月，《华尔街日报》已经开始采用买断员工合同的方式进行“自愿裁员”。2016年，华尔街日报进入美国发行量前10名。2018年12月，世界品牌实验室编制的《2018世界品牌500强》揭晓，华尔街日报排名第182。
2019-05-23 09:49:20,台北世界贸易中心,台北世界贸易中心简称台北世贸，位于中国台湾省台北市市中心的信义计划区，为一座多功能的工商服务展演设施。1985年12月31日正式落成并启用，是台北的重要景点之一。
2019-05-23 09:49:20,TechCrunch,TechCrunch 是美国科技类博客，由互联网方面的律师Michael Arrington建立，主要报道新兴互联网公司、评论互联网新产品、发布重大突发新闻。TechCrunch 目前已成为关注互联网和创业的重量级博客媒体，是美国互联网产业的风向标，里面的内容几乎成为VC和行业投资者的投资参考。2013年8月，科技博客Techcrunch正式进入中国，并且已经上线。
2019-05-23 09:49:20,展览馆,展览馆（Exhibition Center/Exhibition Hall）是作为展出临时陈列品之用的公共建筑。按照展出的内容分综合性展览馆和专业性展览馆两类。专业性展览馆又可分为工业、农业、贸易、交通、科学技术、文化艺术等不同类型的展览馆。
2019-05-23 09:49:21,Google,谷歌公司（Google Inc.）成立于1998年9月4日，由拉里·佩奇和谢尔盖·布林共同创建，被公认为全球最大的搜索引擎公司。谷歌是一家位于美国的跨国科技企业，业务包括互联网搜索、云计算、广告技术等，同时开发并提供大量基于互联网的产品与服务，其主要利润来自于AdWords等广告服务。1999年下半年，谷歌网站“Google”正式启用。2010年3月23日，宣布关闭在中国大陆市场搜索服务。2015年8月10日，宣布对企业架构进行调整，并创办了一家名为Alphabet的“伞形公司”（Umbrella Company），成为Alphabet旗下子公司。2015年，在2015年度“世界品牌500强”排行中重返榜首，苹果和亚马逊分别位居第二和第三名。2016年6月8日，《2016年BrandZ全球最具价值品牌百强榜》公布，以2291.98亿美元的品牌价值重新超越苹果成为百强第一。  2017年2月，Brand Finance发布2017年度全球500强品牌榜单，排名第一。2017年6月，《2017年BrandZ最具价值全球品牌100强》公布，谷歌公司名列第一位。2017年12月13日，谷歌正式宣布谷歌AI中国中心（Google AI China Center）在北京成立。2018年1月，腾讯和谷歌宣布双方签署一份覆盖多项产品和技术的专利交叉授权许可协议。2018年5月29日，《2018年BrandZ全球最具价值品牌100强》发布，谷歌公司名列第一位。12月18日，世界品牌实验室编制的《2018世界品牌500强》揭晓，Google排名第2位。
